state,counties,population,uninsured_18_64,fair_poor_health,poor_mental_health,poor_physical_health,routine_checkup,food_insecurity,snap_participation,utility_shutoff_threat,lack_transportation,lack_emotional_support,depression,diabetes,obesity
AK,30,733406,10.1,18.77,16.15,13.2,68.82,14.51,10.34,8.34,9.19,25.47,20.73,9.49,35.55
AL,67,5108468,9.94,22.81,17.2,14.17,80.45,19.19,14.06,9.62,9.77,24.78,23.35,14.76,39.41
AR,75,3067732,11.34,24.36,18.49,15.57,78.96,18.51,11.64,10.45,9.73,26.96,24.6,13.25,39.28
AZ,15,7431344,13.26,19.48,15.37,12.95,73.9,15.85,11.11,7.22,8.69,25.69,19.47,11.32,31.28
CA,58,38965193,10.67,22.23,16.45,13.43,71.84,18.06,15.68,7.32,9.32,28.59,20.16,11.72,27.96
CO,64,5877610,11.11,15.54,16.07,11.94,71.38,,,,,,22.72,8.63,26.19
CT,9,3617176,9.99,16.18,15.83,12.42,80.35,14.94,11.69,8.38,8.26,25.11,20.6,10.16,30.45
DC,1,678972,6.5,13.1,14.1,9.2,75.8,13.9,13.0,7.8,8.0,22.9,21.6,7.8,24.7
DE,3,1031890,8.97,18.78,15.47,13.32,80.92,13.94,11.71,7.46,7.67,21.66,21.12,13.1,35.36
FL,67,22610726,15.92,20.33,15.87,14.25,78.35,,,,,,17.07,13.48,31.95
GA,159,11029227,13.09,20.31,16.94,13.47,78.37,17.76,14.18,9.62,9.54,24.66,18.96,13.29,35.3
HI,5,1435138,5.59,18.37,14.5,12.27,77.27,17.34,12.15,5.84,7.5,30.08,15.96,12.37,25.61
IA,99,3207004,7.34,17.77,16.36,12.74,77.49,12.02,9.96,6.41,6.78,23.34,20.74,11.23,37.73
ID,44,1964726,10.78,17.84,16.18,13.63,74.24,12.84,8.85,6.68,7.48,19.64,23.72,10.16,32.18
IL,102,12549689,9.89,18.6,15.55,12.18,77.76,15.92,13.81,7.76,7.99,25.44,19.81,11.65,34.07
IN,92,6862199,8.88,20.58,17.56,13.8,79.66,14.75,8.65,8.38,7.73,23.17,25.05,12.97,38.38
KS,105,2940546,10.03,18.08,15.96,12.35,76.6,13.05,7.45,8.29,7.16,21.18,20.78,11.39,36.61
KY,120,4526154,,,,,,,,,,,,,
LA,64,4573749,8.9,24.43,19.29,15.21,81.75,22.47,18.96,12.37,11.3,28.6,26.61,15.21,40.02
MA,14,7001399,5.16,16.28,16.22,12.27,80.86,12.43,14.09,7.03,7.55,23.44,23.84,9.79,27.71
MD,24,6180253,8.73,17.86,14.94,11.95,79.16,15.32,11.81,8.35,7.81,24.18,19.37,12.45,35.12
ME,16,1395722,7.84,18.75,17.74,14.31,81.21,10.69,14.29,7.39,7.76,22.69,26.87,11.24,32.76
MI,83,10037261,6.87,19.43,17.64,14.02,80.33,15.49,14.4,8.79,8.29,23.16,25.66,11.96,36.26
MN,87,5737915,7.51,15.99,15.08,11.34,74.79,11.43,7.87,5.74,7.06,21.48,24.41,10.1,33.52
MO,115,6196156,8.7,20.55,17.51,14.24,78.38,13.75,10.81,8.96,8.35,20.09,24.35,12.09,36.64
MS,82,2939690,11.51,24.41,17.26,14.79,81.55,22.4,13.63,11.25,11.87,28.91,19.52,15.52,40.4
MT,56,1132812,9.32,18.39,17.25,14.02,72.4,11.77,8.35,6.59,7.54,21.27,24.89,9.98,31.5
NC,100,10835491,10.4,18.96,16.51,12.64,80.02,15.23,12.36,8.16,8.38,22.56,24.17,12.02,35.09
ND,53,783926,7.31,16.15,14.24,11.44,74.4,10.83,6.79,5.8,6.51,20.65,21.31,9.82,36.59
NE,93,1978379,9.92,16.13,14.15,11.57,75.9,12.34,8.55,6.43,6.7,20.53,18.25,10.68,37.69
NH,10,1402054,6.8,14.48,15.3,11.71,77.75,9.45,6.51,5.41,5.58,21.66,22.68,9.4,31.82
NJ,21,9290841,11.32,17.12,14.71,12.18,78.01,14.35,8.42,7.01,7.43,24.02,15.13,10.93,28.9
NM,33,2114371,15.65,24.06,16.19,15.53,68.94,21.12,17.1,11.3,11.07,24.55,23.18,13.19,34.21
NV,17,3194176,14.52,22.27,18.39,14.86,73.84,18.0,15.1,9.73,9.94,27.3,20.51,12.05,31.36
NY,62,19571216,7.97,18.2,15.03,12.86,80.84,17.29,14.2,8.21,8.64,26.42,17.44,11.5,28.87
OH,88,11785935,8.01,19.41,17.49,13.85,79.91,14.05,11.66,8.29,7.7,21.34,25.41,13.24,37.12
OK,77,4053824,11.34,21.19,17.98,14.3,77.94,18.47,15.15,10.34,9.62,25.17,25.53,12.79,38.92
OR,36,4233358,8.53,19.06,17.52,13.84,72.62,,,,,,27.09,11.19,33.68
PA,67,12961683,,,,,,,,,,,,,
RI,5,1095962,8.3,17.4,16.69,13.18,84.09,15.23,13.27,8.02,7.93,22.1,23.19,11.14,31.76
SC,46,5373555,11.79,20.14,16.45,13.99,80.6,17.44,10.51,8.88,8.57,23.67,22.37,13.9,35.81
SD,66,919318,8.86,17.4,15.39,12.41,76.5,,,,,,21.18,11.73,36.0
TN,95,7126489,11.57,22.4,19.3,14.86,78.14,,,,,,28.34,13.61,37.58
TX,253,30503258,19.23,21.88,16.91,13.17,73.74,,,,,,21.16,12.77,35.71
UT,29,3417734,10.44,15.4,17.33,12.15,70.38,12.35,6.1,6.52,6.87,20.56,27.27,8.49,30.97
VA,133,8715698,8.71,18.06,15.88,12.79,79.16,13.06,10.69,7.13,7.4,21.57,21.75,12.44,34.5
VT,14,647464,6.01,14.54,15.91,12.52,76.07,,,,,,26.51,8.81,28.68
WA,39,7812880,8.5,16.36,16.42,12.47,70.63,,,,,,25.06,9.52,30.75
WI,72,5910955,8.02,17.84,15.51,12.95,77.61,12.16,12.56,5.54,6.76,20.2,23.21,11.43,37.76
WV,55,1770071,8.54,25.46,21.09,17.27,80.99,16.21,17.81,11.01,8.86,23.0,30.45,15.89,40.65
WY,23,584057,11.59,18.3,15.81,13.28,69.72,,,,,,21.64,10.94,33.82
