state,year,chow_count
AK,2018,1
AK,2023,1
AK,2024,1
AK,2025,2
AL,2016,16
AL,2017,1
AL,2018,2
AL,2019,1
AL,2020,1
AL,2021,5
AL,2022,9
AL,2023,16
AL,2024,5
AL,2025,1
AR,2017,1
AR,2018,10
AR,2019,20
AR,2020,9
AR,2021,18
AR,2022,22
AR,2023,8
AR,2024,7
AZ,2016,1
AZ,2017,3
AZ,2018,4
AZ,2019,6
AZ,2020,3
AZ,2022,8
AZ,2023,10
AZ,2024,6
AZ,2025,2
CA,2016,38
CA,2017,29
CA,2018,20
CA,2019,52
CA,2020,24
CA,2021,48
CA,2022,51
CA,2023,107
CA,2024,19
CA,2025,5
CO,2016,2
CO,2017,4
CO,2020,11
CO,2021,5
CO,2022,12
CO,2023,22
CO,2024,24
CO,2025,3
CT,2016,5
CT,2017,2
CT,2019,3
CT,2020,2
CT,2021,9
CT,2022,5
CT,2023,6
CT,2024,14
CT,2025,3
DC,2018,2
DC,2019,1
DC,2020,1
DE,2018,1
DE,2020,2
DE,2021,4
DE,2023,2
DE,2024,5
DE,2025,2
FL,2016,18
FL,2017,3
FL,2018,19
FL,2019,10
FL,2020,34
FL,2021,26
FL,2022,99
FL,2023,48
FL,2024,22
FL,2025,1
GA,2016,6
GA,2017,5
GA,2018,4
GA,2019,9
GA,2020,6
GA,2021,13
GA,2022,19
GA,2023,16
GA,2024,15
GA,2025,6
HI,2017,2
HI,2019,1
HI,2020,1
HI,2023,4
IA,2016,3
IA,2018,2
IA,2019,7
IA,2020,10
IA,2021,14
IA,2022,2
IA,2023,12
IA,2024,35
IA,2025,21
ID,2016,2
ID,2017,1
ID,2018,3
ID,2019,1
ID,2020,5
ID,2021,2
ID,2022,4
ID,2023,4
ID,2024,1
ID,2025,1
IL,2016,1
IL,2017,12
IL,2018,12
IL,2019,47
IL,2020,22
IL,2021,32
IL,2022,32
IL,2023,64
IL,2024,72
IL,2025,12
IN,2016,1
IN,2018,19
IN,2019,11
IN,2020,12
IN,2021,10
IN,2022,15
IN,2023,17
IN,2024,8
IN,2025,3
KS,2017,7
KS,2018,3
KS,2019,25
KS,2020,8
KS,2021,6
KS,2022,5
KS,2023,5
KS,2024,5
KS,2025,3
KY,2016,15
KY,2017,4
KY,2018,25
KY,2019,17
KY,2020,5
KY,2021,6
KY,2022,4
KY,2023,10
KY,2024,15
KY,2025,3
LA,2016,1
LA,2018,3
LA,2019,14
LA,2020,9
LA,2021,8
LA,2022,16
LA,2023,14
LA,2024,4
LA,2025,2
MA,2016,1
MA,2017,14
MA,2018,3
MA,2019,13
MA,2020,6
MA,2021,7
MA,2022,29
MA,2023,19
MA,2024,11
MA,2025,15
MD,2017,3
MD,2018,10
MD,2019,8
MD,2020,8
MD,2021,19
MD,2022,28
MD,2023,24
MD,2024,7
MD,2025,2
ME,2019,1
ME,2020,1
ME,2021,1
ME,2023,1
MI,2017,3
MI,2018,19
MI,2019,4
MI,2020,11
MI,2021,19
MI,2022,8
MI,2023,15
MI,2024,8
MI,2025,7
MN,2016,2
MN,2017,23
MN,2019,10
MN,2020,5
MN,2021,2
MN,2022,4
MN,2023,18
MN,2024,7
MN,2025,1
MO,2016,8
MO,2018,1
MO,2019,5
MO,2020,10
MO,2021,19
MO,2022,28
MO,2023,32
MO,2024,23
MO,2025,16
MS,2016,10
MS,2017,1
MS,2018,1
MS,2019,2
MS,2021,1
MS,2022,10
MS,2025,6
MT,2020,3
MT,2021,4
MT,2023,15
MT,2024,3
NC,2016,8
NC,2017,14
NC,2018,7
NC,2019,23
NC,2020,19
NC,2021,9
NC,2022,30
NC,2023,9
NC,2024,23
NC,2025,23
ND,2018,1
ND,2020,4
ND,2022,1
NE,2017,1
NE,2018,2
NE,2019,14
NE,2020,2
NE,2021,1
NE,2022,3
NE,2023,10
NE,2024,5
NE,2025,1
NH,2019,5
NH,2020,3
NH,2021,1
NH,2022,2
NH,2023,1
NH,2024,7
NH,2025,1
NJ,2016,2
NJ,2017,4
NJ,2018,10
NJ,2019,12
NJ,2020,9
NJ,2021,41
NJ,2022,27
NJ,2023,26
NJ,2024,11
NM,2018,5
NM,2019,7
NM,2021,1
NM,2022,1
NM,2023,9
NM,2024,7
NM,2025,1
NV,2019,2
NV,2022,6
NV,2023,6
NV,2024,5
NV,2025,1
NY,2016,21
NY,2017,25
NY,2018,15
NY,2019,11
NY,2020,5
NY,2021,3
NY,2022,3
NY,2023,9
NY,2024,4
OH,2016,21
OH,2017,31
OH,2018,76
OH,2019,28
OH,2020,36
OH,2021,47
OH,2022,15
OH,2023,20
OH,2024,36
OK,2016,2
OK,2018,4
OK,2019,17
OK,2020,25
OK,2021,12
OK,2022,9
OK,2023,12
OK,2024,9
OK,2025,3
OR,2017,1
OR,2018,1
OR,2020,1
OR,2022,1
OR,2023,26
OR,2024,21
OR,2025,4
PA,2017,6
PA,2018,38
PA,2019,17
PA,2020,15
PA,2021,37
PA,2022,25
PA,2023,64
PA,2024,66
PA,2025,15
RI,2016,1
RI,2018,1
RI,2019,3
RI,2021,4
RI,2022,7
RI,2024,2
RI,2025,4
SC,2016,7
SC,2017,1
SC,2018,3
SC,2019,11
SC,2020,2
SC,2021,17
SC,2022,7
SC,2023,7
SC,2024,7
SC,2025,3
SD,2018,3
SD,2019,17
SD,2023,7
TN,2016,14
TN,2017,13
TN,2018,3
TN,2019,20
TN,2020,2
TN,2021,8
TN,2022,6
TN,2023,5
TN,2024,14
TN,2025,17
TX,2016,2
TX,2017,85
TX,2018,32
TX,2019,69
TX,2020,50
TX,2021,78
TX,2022,128
TX,2023,101
TX,2024,121
TX,2025,31
UT,2016,14
UT,2017,10
UT,2018,7
UT,2019,2
UT,2020,6
UT,2022,1
UT,2024,4
UT,2025,1
VA,2016,10
VA,2017,4
VA,2018,5
VA,2019,8
VA,2020,14
VA,2021,37
VA,2022,21
VA,2023,13
VA,2024,9
VA,2025,10
VT,2017,1
VT,2018,2
VT,2021,1
VT,2023,1
VT,2024,6
WA,2016,3
WA,2017,3
WA,2018,1
WA,2019,5
WA,2020,5
WA,2021,10
WA,2022,4
WA,2023,30
WA,2024,13
WA,2025,11
WI,2016,8
WI,2017,26
WI,2018,14
WI,2019,32
WI,2020,6
WI,2021,6
WI,2022,8
WI,2023,11
WI,2024,12
WI,2025,5
WV,2017,1
WV,2021,3
WV,2022,16
WV,2023,24
WV,2024,6
WY,2016,1
WY,2017,2
WY,2019,2
WY,2020,2
WY,2023,1
WY,2024,3
WY,2025,6
